"","Recording_ID","Recordist","License","Url"
"146",534462,"Manuel Grosselet","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/534462"
"147",523589,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/523589"
"148",505872,"Hinderi Tamminga","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/505872"
"149",502297,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/502297"
"150",502296,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/502296"
"151",502294,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/502294"
"152",502293,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/502293"
"153",502292,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/502292"
"154",489171,"Phoenix Birder","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/489171"
"155",489169,"Phoenix Birder","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/489169"
"156",488722,"Jeremy Pinnix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/488722"
"157",483878,"Barry Edmonston","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/483878"
"158",476938,"David Darrell-Lambert","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/476938"
"159",474134,"Frank Lambert","//creativecommons.org/licenses/by-nc-nd/4.0/","//www.xeno-canto.org/474134"
"160",470301,"Pat Goltz","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/470301"
"161",470299,"Pat Goltz","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/470299"
"162",469588,"Rolf A. de By","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/469588"
"163",467213,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/467213"
"164",466698,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/466698"
"165",466697,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/466697"
"166",466692,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/466692"
"167",466418,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/466418"
"168",466178,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/466178"
"169",466162,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/466162"
"170",464764,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/464764"
"171",464152,"Matt Wistrand","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/464152"
"172",463767,"Frank-Udo Tielmann","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/463767"
"173",460742,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/460742"
"174",460604,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/460604"
"175",456487,"Ted Floyd","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/456487"
"176",452384,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/452384"
"177",452383,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/452383"
"178",451804,"Paul Marvin","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/451804"
"179",445757,"Bruce Lagerquist","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/445757"
"180",439913,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/439913"
"181",439912,"Richard E. Webster","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/439912"
